restraunts_name,restraunts_phone,restraunts_user_name,restraunts_user_review_name
The Brick Pub & Grill,(425) 207-8951,Mike C.,"Very good food
Crab cakes were amazing gourmet
The Philly cheese was very tender and juicy"
The Brick Pub & Grill,(425) 207-8951,Michelle M.,"We've come here a few times, once during happy hour and then once during dinner service on the weekend. Both times, the food has been delicious, perfectly priced, and served with a lot of heart.
I recommend both the Philly Dip and the Steak and Baked Fries.
Happy hour menu is great!"
The Brick Pub & Grill,(425) 207-8951,Kim W.,"Came in for a Seahawks game
Pros:
Great for groups, lots of space and doesn't get too crowded which I like. Our server Andrew was amazing and really went out of his way to give us great service.
Cons:
Apparently they released a new menu the day before we came and boy if I knew I would NOT have come here. Way over priced for the type of food you get, basic bar food at restaurant prices. I was planning on coming and getting food all afternoon for the game but fries alone were almost 10$ after tax. Way way way overpriced for what food you get. My group ordered wings (which were good), nachos (alright), backyard burger (burnt) and drinks for each of us. Our bill was over $100. Somethings off if they think this will bring people in."
The Brick Pub & Grill,(425) 207-8951,Eric O.,"Love the restaurant interior, staff is friendly, and drink options are plentiful. Some cons for me were pricy food items, small portions, and TVs mounted too high. I got to the eatery about 30 minutes after they opened. There were only two others in the restaurant. The bartender chatted up all the patrons and was so nice to interact with. Food came out quickly and the plates were properly warmed. I was impressed that the place had large screen TVs all around each wall of the space which was great. My only gripe was they were mounted close to the ceiling. So Monday Night Football was on the screen in front of me at the bar and I had to strain my neck a little. All in all a decent spot. I really want to rate this higher, but with the prices/portion ratio is a bit off. I will visit again when there are more patrons. Would like to see service with more people in the spot"
The Brick Pub & Grill,(425) 207-8951,Eric O.,"Love the restaurant interior, staff is friendly, and drink options are plentiful. Some cons for me were pricy food items, small potions, and TVs mounted too high. I got to the eatery about 30 minutes after they opened. There were only two others in the restaurant. The bartender chatted up all the patrons and was so nice to interact with. Food came out quickly and the plates were properly warmed. I was impressed that the place had large screen TVs all around each wall of the space which was great. My only gripe was they were punted close to the ceiling. So Monday Night Football was on the screen in front of me at the bar and I had to strain my neck a little. All in all a decent spot. I really want to rate this higher, but with the prices/portion ratio is a bit off. I will visit again when there are more patrons. Would like to see service with more people in the spot."
The Brick Pub & Grill,(425) 207-8951,Mike H.,"Let start off by saying WOW, just WOW!! I have never had a steak salad before and i never knew what i was missing until now. I order the black and blue salad. The salad itself was large and had a good portion of steak on it. The salad was fresh and so were all the toppings. The steak was seasoned perfectly and was cooked perfectly. Medium rare to medium. The dressing the salad dressing that came with the salad brought all the flavors together and really set the salad off. I can go on record and say that this is by far one of the best salads that i have ever had. My friends order a Cajun Chicken sandwich and they said that it was delicious as well. I have passed by this place so many times I'm glad i went in and will have to go back."
The Brick Pub & Grill,(425) 207-8951,Amira J.,"first of all, our server mike was so cool n sweet! authentically himself & laid back! he checked on our group often & made sure our water was refilled! it can be hard to feel welcomed by some restaurants especially if you are a black person of color so i just want to say my experience here with the service was amazing!
i met up with my folks here after work around 6. the pub is located at the end of a small lot that's shared with a gas station & a few other small stores. when you walk in it's pretty spacious inside. not really booths but lots of tables n chairs & a bar.
i ordered the large cajun chicken cesar salad 5/5: i was really excited about eating this. the portion of chicken was perfect with the amount of lettuce given. it came with parmesan, & croutons! the dressing wasn't heavy at all & i appreciated this because i was able to feel more refreshed after chowin dooown
overall i had a great experience here & would 100% recommend for happy hour & late dining.
happy hour is from 3-6, 9-close"
The Brick Pub & Grill,(425) 207-8951,Kristy R.,Second time visiting here. The outside looks a little sketchy but inside has a cool vibe! There is parking in the back in case it is completely full in the little area in front. We did not order any food at this visit but did on our last. Food is very good and service is even better! Enjoyed a couple cocktails tonight and listen to live music definitely a cool little joint. The area it's located in is not my favorite though.
The Brick Pub & Grill,(425) 207-8951,Amber Lee A.,"Good food, in a location you wouldn't expect. I drove up to meet a friend and just assumed it was a gas station. I've now been twice and all the items I have tried were very good."
The Brick Pub & Grill,(425) 207-8951,Lena Y.,"Kind of a hidden gem in a strip mall within a gas station. I found this place via a quick Yelp search so my friend and I could grab dinner. It doesn't look very big from the outside, but you walk into a pretty large space with a variety of tables and seating areas. We sat ourselves as a sign instructed us to, and we were greeted by our server Mike. He was friendly, welcoming and energetic. We shared the poutine, and I got the Hellbent coconut stout and backyard burger with a side of broccoli cheddar soup. Cool that all there beers on tap are from Washington!"
The Brick Pub & Grill,(425) 207-8951,Chelsi A.,"Don't judge a book by its cover. I honestly thought it was a small old bar, and if it wasn't for my cousin recommendation I'm not sure we would have gone.
I love the atmosphere, great selection of local beers on tap and DELICIOUS pulled pork nachos; oh man!! I grew up in Renton and will know recommend this place to everyone. We will for sure be back."
The Brick Pub & Grill,(425) 207-8951,Henry L.,"Came here on a Sunday night with a few friends. It's was around 8pm.
Place was pretty slow with a couple other patrons. Server was welcoming and pretty cool. We had a table by the window. There was a lot of space.
I had a cocktail called Rob Roy. It was average.
Appetizer was crab cakes. It was surprisingly a lot. Came with 2 patties the size of a bk whopper.
Entree was was seared ahi tuna. It was decent. Tuna tasted fresh. Visually, it looked pretty light. But it got me pretty full. Maybe because the crab cakes were so huge. Overall, I can't give too many points for vibes, since it was a Sunday night. Flavors for pretty average, but quality of ingredients keep it above average. I'd say if you're looking for a chill place to have a conversation, this is a good place. If you're a flavor hunter, it's pretty average."
The Brick Pub & Grill,(425) 207-8951,Mike S.,"Food was good, beers were cold service was a bit slow but it all worked out. Good atmosphere, friendly staff, fair food portions. Good place to chill."
The Brick Pub & Grill,(425) 207-8951,Deanna D.,"This is the 3rd time I've been here, and I love it! Very personable wait staff, great food selection, and our waiter was charismatic, and very attentive. We had the Brick Philly Dip, and the Black & Blue salad."
The Brick Pub & Grill,(425) 207-8951,Leslie W.,The Brick recently changed their menu again. I miss the Cajun chicken sandwich. I only eat white meat and was glad to have this on the menu. The have since removed it. I asked the server if I could have the chicken sandwich from the old menu and he said yes. WHoooHOOOO. Unfortunately when it came out it is not the same sandwich. It is sliced chicken on a bun. This does not make a good sandwich. The pieces kept falling out of the bread. It was a horrible way to eat. The original was the reason I came to the brick repeatedly. Since that sandwich is gone I don't find anything comparable on the menu. Guess I will have to find another Cajun chicken somewhere else.
The Brick Pub & Grill,(425) 207-8951,Leslie W.,"We tried the Brick when it first opened. The had not worked out the kinks yet and it was all pretty sad. Very slow service, no vegetarian options and only 1 chicken option. Ordered just a salad and my husband had a burger. He felt the burger was tasty and the salad was decent but I don't go to restaurants just to have a salad. The menu was very lacking and extremely limited so never went back. We decided to see if the kinks were gone and tried again last week. Glad we did. The have re-vamped the menu and have a bit more variety and more chicken options. Had a chicken sandwich and my husband had a steak. He enjoyed it and I enjoyed my sandwich too. the food runner was awesome, stopping at all the tables to see if everything was okay. The female waitstaff did not give a rip that we were there. They ignored us even though the sign said seat yourself. We were in a table next to the bar and the blond bartender came over to take our order. Thankfully finally some attention. He was very pleasant and helpful. If not for him we would have left. Prices are fair, there are 8 or so tv's on the walls so always a game to watch. I recommend for the food but again the waitstaff is awful."
The Brick Pub & Grill,(425) 207-8951,Stephen G.,"Our second visit to the Brick Pub. First visit a few months back was not bad.
It took at least 15 minutes for the waiter to come to our table. We ordered drinks and dinner. It took around another 10 minutes for the waiter to bring the drinks over. She was doubling as a bartender too. It took around 40 more minutes to get our food...that's almost an hour since we got there. Not acceptable. Fish from fish and chips was over fried and hard. My wife's flank steak order was sirloin tip according to her, and it was pink on the inside though she ordered it medium well.
All in all, we were pretty disappointed..."
The Brick Pub & Grill,(425) 207-8951,Brad B.,"The Brick is a nice pub with great food, hiding in a gas station parking lot. From the outside it doesn't look like much, but the inside is large with lots of seating.
I loved the beer selection at the Brick. They had a whole bunch of local beers that you don't find at many other places, which that alone would keep me coming back.
The food was really good as well! I had a grilled cheese with bacon and peppers and it was awesome! I think it was about $12 which is reasonable.
They also have games out for customers to play, which is always fun when drinking beer with your friends."
The Brick Pub & Grill,(425) 207-8951,Koren C.,"Best dang pork chop I've ever had!
From the outside it looks a little sketchy, but this was a VERY good restaurant! A must try!!
Great beers, good happy hour, even better food!
Thanks "" the brick"""
The Brick Pub & Grill,(425) 207-8951,Senor C.,"This place was SO good. The owner is really cool and the music is always fun.
With that said...
I have now had three bad meals in a row and I am ready to stop trying. That is big bucks I will never get back. How do you screw up a BLT? The bacon was so overcooked that it was more like burnt bacon dust than meat. The ""Philly cheese steak"" was not good and didn't even come with the advertised aioli sauce. My fries sucked and were cold. How on Earth can you make a bad cheese steak? I don't even remember what they screwed up before that but I still remember the dissapointment coupled with a 70 dollar check.
I have had everything on the menu in the past and it ALL used to be good.
Now, I am afraid to order anything.
I sure hope they fix it back to the way it was. There is nothing like this place in the highlands."
The Brick Pub & Grill,(425) 207-8951,Rich L.,"Just wanted to thank the blonde haired girl and bearded guy working tonight for showing racism. We walked in approx 30 mins ago and sat down at the table next to the bar. No acknowledgement even though both of them looked straight at us. Blonde girl started cleaning one of the machines and the bearded guy just kept talking to his friends. We sat the table for 15 mins and neither of them brought a menu or said Hi to us. After I began staring at the girl wondering why we were being ignored, a white couple came in and sat at the bar. Within 30 seconds he had poured them waters and took their order. He made their drinks and we had yet to be greeted or brought a drink menu. Every person in the bar was white including the couple that came in. Coincidence??? Thank you for ruining our evening and reaffirming that asian people are not welcome at the pub."
The Brick Pub & Grill,(425) 207-8951,Andrea I.,"We found this gem on Yelp, and another fantastic find it was. It has local beer on tap that my husband really liked and I had a ""Fru-Fru"" drink the Lavender Mule which was amazing. As if the great drinks weren't enough the food was just as amazing. Ordered the Pastrami Melt and it was some of the best tasting pastrami I have had.
The waitress was very informative and helpful, she knew her products and had answers to all our our questions.
This place is quite a find and it is worth the visit."
Yen Wor Village,(206) 932-1455,Fanny L.,"Great place for Karaoke in West Seattle
Didn't try their food.
Always there for Karaoke night with friends, it's fun there are people from all ages/cultures... they have a long list of songs that you can choose, the DJ is amazing!
Great place to go for Karaoke"
Yen Wor Village,(206) 932-1455,Carolyn J.,"Throwback Chinese food ...check!
So this place reminds me of Chinese food from the 70s and 80s. The family dinners of chow mien , fried rice and sweet and sour chicken or Mongolian beef. Its good , nothing fancy but hits the spot. So the decor is still from forty years ago , if your willing to get past that and in west seattle and needing old school Chinese food then this is the place.
The bar in the back is something else. Very popular Karaoke and hang out vibe . It gets packed. During the holidays and summer , many college kids come in and hang out and sing!!
They're keeping it real up in here!"
Yen Wor Village,(206) 932-1455,Madison L.,"The food honestly wasn't that bad, but everything else was.
We went at 5:30 on a Wednesday. The place was empty. We waited for 10 minutes to be seated. Where's all the staff?
Wanted to order off the happy hour menu, but was told it's only if we order drinks, but it doesn't say anywhere that a drink purchase is necessary?
We ordered vegetable wontons as an appetizer but it came with the meal and then the vegetable egg foo young came out about 10 minutes after everything else. We had to ask the waitress (when we finally saw her) if they remembered it because she just dropped off all the food and left but no egg foo young. She said ""it's coming"" but only after we asked and only after we could get her attention.
The food is pretty average. Not bad but not the best. Pretty fair prices though and lots of options on the menu. Don't really think I feel the need to come back"
Yen Wor Village,(206) 932-1455,Sheri C.,"Haven't been to the karaoke bar...yet. Three of us came in for the Chinese and there was no one there on a Friday night. Red flag! However, our food was all right. It's over breaded like crazy, but came out hot. The appetizer tray with a mixture of different things was served on a flaming hot tray with fire spewing out the middle so a little unexpected entertainment.
Yen Wor's worn out dining area needs an update, a good deep cleaning, and they like the super cheesy ""what's your Chinese zodiac"" place mats but we just wanted a place where our loud, obnoxious laughter wouldn't be minded.
Heard the phone ringing off the hook for to go/delivery orders so obviously people eat their food.
Two of us weren't in the mood to sing, but it's still on the list to go a little nuts and be even louder with the karaoke."
Yen Wor Village,(206) 932-1455,Finn K.,"Terrible service. Rude staff. Dumpy atmosphere. No intentions of ever going back there. Enough said.
Please do yourself a favor and look somewhere else."
Yen Wor Village,(206) 932-1455,D Y.,"The Yen Wor is the place for great drinks , karaoke and Chinese food. Wendy is the real star here. So are you when you're up on stage being a star singing karaoke . This is a dive most sacred to Seattle and will be here long after you and I are gone ... long love the Pagoda Room and may you be lucky enough to enjoy all of the bacchanalian delights that await you inside."
Yen Wor Village,(206) 932-1455,D Y.,"The Yen Wor is the place for great drinks , karaoke and Chinese food. Wendy is the real star here. So are you when you're up on stage being a star singing karaoke . This is a dive most sacred to Seattle and will be here long after you and I are gone ... long love the Pagoda Room and may you be lucky enough to enjoy all of the bacchanalian delights that await you inside."
Yen Wor Village,(206) 932-1455,David S.,I know a lot of locals in West Seattle will disagree with me but I didn't really care for this place . Maybe they have really good food ? I do see people standing out in front all the time so maybe it was just the night that I was there was off .
Yen Wor Village,(206) 932-1455,Dustin P.,Food is okay but the late night karaoke is the fun/best part of this place. It's also right next to a few other places to go earlier in the night.
Yen Wor Village,(206) 932-1455,Joseph W.,"Incredibly rude and abysmally bad service. If you want food that literally tastes the same as other crappy Chinese places, but on top of that want to be treated subhuman, this place is for you."
Yen Wor Village,(206) 932-1455,Alyssa H.,Would have given 4 stars if the DJ didn't hate Lisa loeb so much. Repeatedly skipped over the best song alive. Go somewhere else for karaoke and Lisa loeb.
Yen Wor Village,(206) 932-1455,Amber B.,First and last time ordering from here. Even the potstickers were bad. The crab Rangoon was chewy... chicken chow mein smelled and tasted weird. Honey walnut prawns weren't horrible but I wouldn't order them again. We only took a few bites then wrapped it up and gave it to a homeless person.
Yen Wor Village,(206) 932-1455,Christophe G.,The General Tao chicken is great and my favorite. My kids like the sweet and sour chicken. But ask for the S&S sauce on side. Not crazy about the egg rolls. Nice friendly people will take care of your take out order.
Yen Wor Village,(206) 932-1455,Jade X.,"Staff seems nice, except the rude female owner who takes the angry proprietor role too far. Delivery was late and wrong, and she was completely unapologetic. Dumplings were gross, chunky dough balls with hardly any meat."
Yen Wor Village,(206) 932-1455,Rhohana-Mary C.,It was my first time coming to yen wor village and I will NEVER come back to this place the bartender WENDY was Extremely Rude and Disrespectful and acted with such racist behavior it was all because I tried to pay for the nasty ass drinks she made me that were watered down I also tried to order food twice and never got anything she made a point to serve everyone else except me if you dont want to be treated like trash especially being a person of color dont bother take your hard earned money and go else where.
Yen Wor Village,(206) 932-1455,Brenda B.,"Cheap drinks , great customer service, fun quirky environment and best place in W. Seattle to sing kareoke 7 nights a week ! Also every Monday open Mic night & Ladies night drink specials ! Did I mention the food :p shrimp fried rice. YUM !"
Yen Wor Village,(206) 932-1455,Marilyn N.,"At first, this bar seems great but then about 11 pm. The bartender cant even hear what kind of drink you want. I was shouting and paid for a drink I didnt even want. Bar tender still made me pay for it. I would give 0 stars if I could."
Yen Wor Village,(206) 932-1455,jordan p.,"The karaoke is pretty fun, lots of participation from the crowd and the DJ is good. Personally, I wouldn't order food here unless I was starving. It can be hard to get service from the bar when you want to order drinks and the table service is pretty trash. Just a heads up, cashing out your tab takes a good five minutes. The crowd runs a bit on the older side from what I've seen, but they seem to have fun. All in all, it's alright, but wouldn't be my go to unless I really wanted to sing some karaoke and somehow couldn't get myself to Talarico's"
Yen Wor Village,(206) 932-1455,Dominic A.,"I've grown up in this area. I'm not new to the yen wor. I know not to eat there, I know not to expect stellar service. I know I will get served after the regulars, and I know Wendy will butcher some obscure song on any given night.
However- for the first time in my adult life I experienced blatant racial discrimination in West Seattle by Wendy. In front of my girlfriend, and other friends I kept from causing a scene and bit my tongue- and her other bartender apologized- embarrassed for her (Wendy's) actions. She politely offered to buy me a drink, offering these words of apology ""oh, you know- that's just Wendy, you've been here before, you know how she is"". At no point should anyone need to feel as uncomfortable and I did at the yen wor."
Yen Wor Village,(206) 932-1455,Jen M.,"This place was awful. I had BBQ pork and started to feel sick on my way home. Bartender was rude and forgetful. Wendy was extremely rude and offensive, it's like she has no customer service skills at all. The Apple Cup was on and one customer was screaming as if she was being killed. Trying to hold a conversation with any of my friends was impossible."
Yen Wor Village,(206) 932-1455,Melissa C.,Nothing but positive experiences here! The food is better than Safeway's. Huge menu and lots of vegetarian options. Tip well for faster service in the bar.
Due’ Cucina Italiana,(206) 397-4375,Karrissa D.,"I called this evening to verify their cacio e pepe is vegetarian, and it is! yay!
I ordered the cacio e pepe and a slice of sourdough bread through uber eats. The flavor of the cacio e pepe is quite different from what I've had before, I think it's the aged cheese that really made the difference. It was delicious though! The pasta was perfectly cooked (& fresh!) and the 'sauce' still had a really good pepper flavor. The sourdough also came with a light drizzle of olive oil and salt which complemented the pasta perfectly.
Only downside was the temperature, but that's a given with delivery. Definitely looking forward to being able to visit once everything is back open, as this was my first time trying their food. I'm for sure going to order some fresh pasta for home in the future too."
Due’ Cucina Italiana,(206) 397-4375,Andrea O.,"Even in these challenging times (covid-19 lockdown) these guys are rocking it. They reconfigured the restaurant for to go/delivery only orders. Got my usual favorites to go and everything was amazing. Will keep supporting them during this difficult moment, consider doing the same!"
Due’ Cucina Italiana,(206) 397-4375,Andrea O.,"I'm Italian and I'm very picky and demanding when it comes to Italian food (or food in general for that matter). Well Due is among my favorite places to get real genuine Italian food. Everything is good and authentic, my favs these days are the pasta cacio e pepe with guanciale and Tiramisù. This is a must try, it will become one of your favorites too"
Due’ Cucina Italiana,(206) 397-4375,Andrea O.,"I'm Italian and I'm very picky and demanding when it comes to Italian food (or food in general for that matter). Well Due is among my favorite places to get real genuine Italian food. Everything is good and authentic, my favs these days are the pasta cacio e pepe with guanciale and Tiramisù. This is a must try, it will become one of your favorites too"
Due’ Cucina Italiana,(206) 397-4375,Becca H.,"Due' Cucina is a great spot for lunch or dinner! The prices are great, the servers and atmosphere are relaxed and welcoming, and the food is amazing. My go-to order is the Traditional Bolognese Ragu with traditional spaghetti. My boyfriend orders the Aglio & Olio with healthy campanelle and adds fried tofu. Be sure to get tiramisu, sharing is an option size-wise, but you won't want to. It's to die for! We placed an order for pick-up today since the city is still under the stay-at-home order. There was no fuss and no wait to get our food. We're going to continue supporting Dué through the coronavirus pandemic and beyond. Yum!!!"
Due’ Cucina Italiana,(206) 397-4375,Jen H.,"Thank goodness this place delivers all the way to Kirkland! I miss eating out in Seattle so I was super thankful and appreciative that we were in the delivery area.
I ordered the kale pesto campanelle and it was amazing!! I would definitely order this again. It was cooked perfectly - nice and chewy. My partner ordered the eggplant parm and he was a little disappointed with the portion size; it came in a tiny little box. He was jealous of my kale pesto pasta which I hesitantly shared with him. We shared the tiramisu at the end of our meal and it was fantastic, one of the best tiramisu I have had in awhile. Definitely planning on ordering here more while this pandemic is going on. Highly recommend!"
Due’ Cucina Italiana,(206) 397-4375,Richard U.,"3.5 star place!
Interesting casual dining pasta place up in Cap Hill. I was looking to support local restaurants still open during the shelter at home mandate in effect and luckily they are still open for take out.
Stuff tried:
Eggplant parmesan: i am only person i know that actually craves eggplant parm. The version here is not crispy at all but it is exceedingly delicious! My only gripe is that the portion size is tiny. If you are remotely hungry i would order two servings.
Mushroom with truffle oil on healthy pasta: i am a sucker for mushroom truffle oil anything. Chose the healthy pasta which is made from some type of bean flour instead of wheat giving it a toothy consistency. The pasta has touted health benefits but the consistency might be offputting for some folks. Flavor was pretty good however
Bruschetta caprese: nice slab of grilled bread with fresh toppings. I admit that the to go version seems to have left my bruschetta a bit soggy. Eat this first next time"
Due’ Cucina Italiana,(206) 397-4375,Holly L.,"The pasta was very tasty! Excellent. If I had eaten on-site, I'd probably rate higher. I love that you can really taste the truffle oil in the mushroom pasta dish. The pomodoro was simple but hit the spot.
However, I ordered delivery through Yelp/Grub Hub and it was an awful wait. On yelp, it said 30-50 min wait time. However I waited 1.5 hours or 40 mins to 1 hour more wait time than I expected. I was tired and hadn't eaten for more than 9 hours so I picked the place that could be the least amount of wait. The restaurant blamed the grub hub driver, and when I called grub hub they weren't taking calls. After my 3rd call to grub hub, they also blamed the driver and gave me a lousy 10% discount for my next purchase.
I'd probably eat here again but NEVER use delivery."
Due’ Cucina Italiana,(206) 397-4375,Marie B.,"I love pasta and have been to just about every Italian spot in Seattle. Handmade pasta, I'm there! Pasta in a casual setting, even better! Most often though, I don't have access to the likes of Il Corvo, Pasta Casalinga, G.H. Pasta, Ristorante Machiavelli, Tavolata, or La Vita e Bella because I currently don't work in Seattle.
However, the very first Yelper I ever met is credited for the recommendation to Due' Cucina Italiana *Bryan K* Clearly, I had been under a rock and late to the pasta bowl party at this popular Capitol Hill/Broadway spot. I've interacted with the two brothers than run DCI, great charismatic business owners. Brilliant concept and business hours until 2200! Great counter staff and efficient kitchen crew. A variety of seating are available whether dining solo, pairs or larger groups. Just remember to kindly bus your table at the end!
My first visit was back in December 2018 (been open since October 2016!) and have been back so many times that honestly I've lost count. This is a long overdue Yelp review as I just had a custom pasta bowl for dunch/linner hours ago (1/27/20).
Assorted fresh pasta that's crafted on site. Your pasta bowl is customized by selecting type of pasta, sauce, and other ingredients from the giant wall signage. Order and pay at the counter, then find a place to sit if dining onsite. There's also brisk takeout and delivery traffic.
In about 15-20 minutes your name is called or check the status on the order monitor. I like to admire my pasta bowl and then dig in while nice and hot. Feeling raveneous, one can easily polish off a bowl. Most often, I have tasty leftovers for another meal.
Another item I've had often (but not today) is their delicious tiramisu. Enough to share, or not!
So thank you Bryan K, Due' Cucina Italiana has become one of my regular spots.
High quality, delicious, affordable, satisfying, highly recommended!"
Due’ Cucina Italiana,(206) 397-4375,Theresa L.,Ordered from here for the first time last night. Had delivered and dropped at the front door. Everything was timely manor and tasted great! Can't wait to try more
Due’ Cucina Italiana,(206) 397-4375,Julia L.,"Had a lovely lunch here recently! The place is modern, clean, well lit (large windows) with plenty of open seating. Remember to seat yourself & bus your own table. My group tried a variety of the sauces...
- traditional bolognese: rich, hearty, filling
- cacio & pepe: the cheese flavor was very sharp and strong, delicious but a bit too much for me
- amatriciana: lots of tomato flavors + smokey, savory goodness in the form of guanciale (cured pork cheek)
- mushroom & white truffle oil: creamy, thick, but not too heavy. Wonder, well balanced flavors between the mushroom and truffle oil (personal favorite out of the 4 sauces)
The pastas were all fresh and perfectly al dente (firm, chewy). Personally enjoyed the rigatoni and ca campanelle best. Would recommend and come back again!"
Due’ Cucina Italiana,(206) 397-4375,Pauli D.,"Fresh pasta + mushroom sauce =
----
Every time I go to @duecucina I become more and more of a fan. It's a place that has definitely grown on me. The pastas are light, more my style for lunch, and very very fresh!
----
My favorite at the moment would be the mushroom sauce. Simple and yet the umami really shines through. What do you get here?"
Due’ Cucina Italiana,(206) 397-4375,Pauli D.,"Who knew such a cute little pasta shop could be found in cap hill? The sauces are pretty light and the noodles are cooked just enough to still have that bite where it sticks to your teeth. You won't feel heavy with cheese or sleepy from too many carbs. You order first then pick up your food in the back from the kitchen. It's bus yourself when you are finished here, they have water in the back and utensils available on the table.
The tiramisu is also very very nice and I usually don't even like tiramisu so a round of applause for that. We need to come back and try more dishes because for the low price you get a great amount of food."
